variable,x,y
bio1,-47.5,9.400529670529068E-4
bio1,-46.768,9.400529670529068E-4
bio1,-46.036,9.400529670529068E-4
bio1,-45.304,9.400529670529068E-4
bio1,-44.572,9.400529670529068E-4
bio1,-43.84,9.400529670529068E-4
bio1,-43.108,9.400529670529068E-4
bio1,-42.376,9.400529670529068E-4
bio1,-41.644,9.400529670529068E-4
bio1,-40.912,9.400529670529068E-4
bio1,-40.18,9.400529670529068E-4
bio1,-39.448,9.400529670529068E-4
bio1,-38.716,9.400529670529068E-4
bio1,-37.984,9.400529670529068E-4
bio1,-37.252,9.400529670529068E-4
bio1,-36.519999999999996,9.400529670529068E-4
bio1,-35.788,9.400529670529068E-4
bio1,-35.056,9.400529670529068E-4
bio1,-34.324,9.400529670529068E-4
bio1,-33.592,9.400529670529068E-4
bio1,-32.86,9.400529670529068E-4
bio1,-32.128,9.400529670529068E-4
bio1,-31.396,9.400529670529068E-4
bio1,-30.664,9.400529670529068E-4
bio1,-29.932,9.400529670529068E-4
bio1,-29.2,9.400529670529068E-4
bio1,-28.468,9.400529670529068E-4
bio1,-27.736,9.400529670529068E-4
bio1,-27.004,9.400529670529068E-4
bio1,-26.272,9.400529670529068E-4
bio1,-25.54,9.400529670529068E-4
bio1,-24.808,9.400529670529068E-4
bio1,-24.076,9.400529670529068E-4
bio1,-23.344,9.400529670529068E-4
bio1,-22.612,9.400529670529068E-4
bio1,-21.88,9.400529670529068E-4
bio1,-21.148,9.400529670529068E-4
bio1,-20.416,9.400529670529068E-4
bio1,-19.684,9.400529670529068E-4
bio1,-18.952,9.400529670529068E-4
bio1,-18.22,9.400529670529068E-4
bio1,-17.488,9.400529670529068E-4
bio1,-16.756,9.559260215610266E-4
bio1,-16.024,0.0010050536366179585
bio1,-15.292000000000002,0.0010565200354903936
bio1,-14.560000000000002,0.0011104262666776776
bio1,-13.828000000000003,0.0011668772203847766
bio1,-13.095999999999997,0.0012259816285222769
bio1,-12.363999999999997,0.0012878524139523506
bio1,-11.631999999999998,0.0013526068069040775
bio1,-10.899999999999999,0.0014203659957274795
bio1,-10.168,0.0014912557089701295
bio1,-9.436,0.0015654064482077956
bio1,-8.704,0.0016429531387984753
bio1,-7.972000000000001,0.0017240357119590044
bio1,-7.240000000000002,0.001808798871934414
bio1,-6.508000000000003,0.001897392445243895
bio1,-5.776000000000003,0.001989971613511443
bio1,-5.043999999999997,0.002086696680635214
bio1,-4.311999999999998,0.0021877335384488106
bio1,-3.5799999999999983,0.002293253783136606
bio1,-2.847999999999999,0.002403434831649065
bio1,-2.1159999999999997,0.002518459688872099
bio1,-1.3840000000000003,0.0026385176461189985
bio1,-0.652000000000001,0.0027638040482997894
bio1,0.0799999999999983,0.002894520992413163
bio1,0.8119999999999976,0.0030308763962239027
bio1,1.543999999999997,0.0031730851624161005
bio1,2.2760000000000034,0.003321368945762515
bio1,3.0080000000000027,0.0034759563859552145
bio1,3.740000000000002,0.003637082874774933
bio1,4.472000000000001,0.003804991254583001
bio1,5.204000000000001,0.003979931585490704
bio1,5.936,0.004162161145359278
bio1,6.667999999999999,0.004351945128291845
bio1,7.399999999999999,0.004549556411802769
bio1,8.131999999999998,0.004755275323987007
bio1,8.863999999999997,0.004969391040503979
bio1,9.595999999999997,0.005192199721932411
bio1,10.328000000000003,0.005424006842076778
bio1,11.060000000000002,0.005665125325322151
bio1,11.792000000000002,0.005915876477956772
bio1,12.524000000000001,0.006176591385155916
bio1,13.256,0.00644760811701417
bio1,13.988,0.0067292749881744385
bio1,14.719999999999999,0.007021948229521513
bio1,15.451999999999998,0.0073259929195046425
bio1,16.183999999999997,0.007641783449798822
bio1,16.915999999999997,0.007969703525304794
bio1,17.647999999999996,0.008310145698487759
bio1,18.379999999999995,0.008663509972393513
bio1,19.111999999999995,0.009030208922922611
bio1,19.843999999999994,0.009410662576556206
bio1,20.575999999999993,0.00980529934167862
bio1,21.308000000000007,0.010214557871222496
bio1,22.040000000000006,0.010638886131346226
bio1,22.772000000000006,0.011078739538788795
bio1,23.504000000000005,0.011534586548805237
bio1,24.236000000000004,0.012006900273263454
bio1,24.968000000000004,0.012496165931224823
bio1,25.700000000000003,0.013002876192331314
bio1,26.432000000000002,0.013527531176805496
bio1,27.164,0.014070645906031132
bio1,27.896,0.014632736332714558
bio1,28.628,0.015214331448078156
bio1,29.36,0.015815967693924904
bio1,30.092,0.016438186168670654
bio1,30.823999999999998,0.017081541940569878
bio1,31.555999999999997,0.017746595665812492
bio1,32.288,0.018433911725878716
bio1,33.019999999999996,0.01914406754076481
bio1,33.751999999999995,0.019877640530467033
bio1,34.483999999999995,0.020635223016142845
bio1,35.215999999999994,0.0214174035936594
bio1,35.94799999999999,0.02222478576004505
bio1,36.68000000000001,0.023057971149683
bio1,37.412000000000006,0.02391756884753704
bio1,38.144000000000005,0.02480420283973217
bio1,38.876000000000005,0.025718478485941887
bio1,39.608000000000004,0.02666102908551693
bio1,40.34,0.027632469311356544
bio1,41.072,0.02863343246281147
bio1,41.804,0.029664551839232445
bio1,42.536,0.030726447701454163
bio1,43.268,0.03181976079940796
bio1,44.0,0.032945115119218826
bio1,44.732,0.0341031439602375
bio1,45.464,0.03529448062181473
bio1,46.196,0.03651973977684975
bio1,46.928,0.0377795584499836
bio1,47.66,0.039074547588825226
bio1,48.391999999999996,0.04040532186627388
bio1,49.123999999999995,0.041772499680519104
bio1,49.855999999999995,0.04317667335271835
bio1,50.587999999999994,0.04461845010519028
bio1,51.31999999999999,0.04609839990735054
bio1,52.05200000000001,0.0476171150803566
bio1,52.784000000000006,0.04917516931891441
bio1,53.516000000000005,0.050773102790117264
bio1,54.248000000000005,0.05241147801280022
bio1,54.980000000000004,0.05409080535173416
bio1,55.712,0.05581162869930267
bio1,56.444,0.057574424892663956
bio1,57.176,0.059379693120718
bio1,57.908,0.061227913945913315
bio1,58.64,0.06311950832605362
bio1,59.372,0.06505494564771652
bio1,60.104,0.06703459471464157
bio1,60.836,0.0690588653087616
bio1,61.568,0.07112814486026764
bio1,62.3,0.07324273139238358
bio1,63.032,0.07540298253297806
bio1,63.763999999999996,0.07760916650295258
bio1,64.496,0.07986156642436981
bio1,65.228,0.08216038346290588
bio1,65.96,0.08450587838888168
bio1,66.692,0.08689820021390915
bio1,67.424,0.08933750540018082
bio1,68.156,0.09182388335466385
bio1,68.888,0.09435746818780899
bio1,69.62,0.09693828225135803
bio1,70.352,0.09956632554531097
bio1,71.084,0.1022416278719902
bio1,71.816,0.10496410727500916
bio1,72.548,0.10773364454507828
bio1,73.28,0.1105501800775528
bio1,74.012,0.11341352015733719
bio1,74.744,0.11632346361875534
bio1,75.476,0.11927973479032516
bio1,76.208,0.12228212505578995
bio1,76.94,0.12533028423786163
bio1,77.672,0.12842383980751038
bio1,78.404,0.13156242668628693
bio1,79.136,0.13474561274051666
bio1,79.868,0.1379728764295578
bio1,80.6,0.14124378561973572
bio1,81.332,0.14455774426460266
bio1,82.064,0.14791415631771088
bio1,82.79599999999999,0.15131236612796783
bio1,83.52799999999999,0.15475177764892578
bio1,84.25999999999999,0.15823164582252502
bio1,84.99199999999999,0.16175119578838348
bio1,85.72399999999999,0.16530972719192505
bio1,86.45599999999999,0.16890637576580048
bio1,87.18799999999999,0.17254027724266052
bio1,87.91999999999999,0.17621053755283356
bio1,88.65199999999999,0.17991629242897034
bio1,89.38399999999999,0.18365655839443207
bio1,90.11600000000001,0.18743030726909637
bio1,90.84800000000001,0.19123658537864685
bio1,91.58000000000001,0.19507433474063873
bio1,92.31200000000001,0.1989424079656601
bio1,93.04400000000001,0.20283980667591095
bio1,93.77600000000001,0.20676535367965698
bio1,94.50800000000001,0.21071788668632507
bio1,95.24000000000001,0.21469618380069733
bio1,95.97200000000001,0.2186991274356842
bio1,96.70400000000001,0.22272546589374542
bio1,97.436,0.22677390277385712
bio1,98.168,0.23084326088428497
bio1,98.9,0.23493222892284393
bio1,99.632,0.23903949558734894
bio1,100.364,0.24316373467445374
bio1,101.096,0.24730370938777924
bio1,101.828,0.2514580488204956
bio1,102.56,0.25562533736228943
bio1,103.292,0.259804368019104
bio1,104.024,0.2639937400817871
bio1,104.756,0.26819202303886414
bio1,105.488,0.2723979651927948
