variable,x,y
bio11,-154.4,1.5601026461808942E-6
bio11,-153.4544,1.5601026461808942E-6
bio11,-152.5088,1.5601026461808942E-6
bio11,-151.5632,1.5601026461808942E-6
bio11,-150.6176,1.5601026461808942E-6
bio11,-149.672,1.5601026461808942E-6
bio11,-148.7264,1.5601026461808942E-6
bio11,-147.7808,1.5601026461808942E-6
bio11,-146.83520000000001,1.5601026461808942E-6
bio11,-145.8896,1.5601026461808942E-6
bio11,-144.94400000000002,1.5601026461808942E-6
bio11,-143.9984,1.5601026461808942E-6
bio11,-143.05280000000002,1.5601026461808942E-6
bio11,-142.1072,1.5601026461808942E-6
bio11,-141.16160000000002,1.5601026461808942E-6
bio11,-140.216,1.5601026461808942E-6
bio11,-139.2704,1.5601026461808942E-6
bio11,-138.3248,1.5601026461808942E-6
bio11,-137.3792,1.5601026461808942E-6
bio11,-136.4336,1.5601026461808942E-6
bio11,-135.488,1.5601026461808942E-6
bio11,-134.54240000000001,1.5601026461808942E-6
bio11,-133.5968,1.5601026461808942E-6
bio11,-132.65120000000002,1.5601026461808942E-6
bio11,-131.7056,1.5601026461808942E-6
bio11,-130.76000000000002,1.5601026461808942E-6
bio11,-129.8144,1.5601026461808942E-6
bio11,-128.86880000000002,1.5601026461808942E-6
bio11,-127.92320000000001,1.5601026461808942E-6
bio11,-126.97760000000001,1.5601026461808942E-6
bio11,-126.03200000000001,1.5601026461808942E-6
bio11,-125.08640000000001,1.5601026461808942E-6
bio11,-124.14080000000001,1.5601026461808942E-6
bio11,-123.19520000000001,1.5601026461808942E-6
bio11,-122.24960000000002,1.5601026461808942E-6
bio11,-121.304,1.5601026461808942E-6
bio11,-120.35840000000002,1.5601026461808942E-6
bio11,-119.4128,1.5601026461808942E-6
bio11,-118.46720000000002,1.5601026461808942E-6
bio11,-117.5216,1.5601026461808942E-6
bio11,-116.57600000000001,1.5601026461808942E-6
bio11,-115.63040000000001,1.5601026461808942E-6
bio11,-114.68480000000001,1.5992784483387368E-6
bio11,-113.73920000000001,1.722807610349264E-6
bio11,-112.79360000000001,1.8558772580945515E-6
bio11,-111.84800000000001,1.999226242332952E-6
bio11,-110.9024,2.153647528757574E-6
bio11,-109.95680000000002,2.31999524658022E-6
bio11,-109.0112,2.4991927602968644E-6
bio11,-108.06560000000002,2.6922318738797912E-6
bio11,-107.12,2.90017942461418E-6
bio11,-106.1744,3.1241906981449574E-6
bio11,-105.2288,3.365504653629614E-6
bio11,-104.28320000000001,3.6254555197956506E-6
bio11,-103.33760000000001,3.905487119482132E-6
bio11,-102.39200000000001,4.207148776913527E-6
bio11,-101.44640000000001,4.5321075958781876E-6
bio11,-100.5008,4.882169378106482E-6
bio11,-99.55520000000001,5.2592695283237845E-6
bio11,-98.60960000000001,5.665497155860066E-6
bio11,-97.66400000000002,6.1030978031340055E-6
bio11,-96.71840000000002,6.574502549483441E-6
