variable,x,y
bio4,-1001.7,0.42101532220840454
bio4,-973.9872,0.42101532220840454
bio4,-946.2744,0.42101532220840454
bio4,-918.5616,0.42101532220840454
bio4,-890.8488,0.42101532220840454
bio4,-863.1360000000001,0.42101532220840454
bio4,-835.4232000000001,0.42101532220840454
bio4,-807.7104,0.42101532220840454
bio4,-779.9976,0.42101532220840454
bio4,-752.2848,0.42101532220840454
bio4,-724.5720000000001,0.42101532220840454
bio4,-696.8592,0.42101532220840454
bio4,-669.1464000000001,0.42101532220840454
bio4,-641.4336000000001,0.42101532220840454
bio4,-613.7208,0.42101532220840454
bio4,-586.008,0.42101532220840454
bio4,-558.2952,0.42101532220840454
bio4,-530.5824,0.42101532220840454
bio4,-502.86960000000005,0.42101532220840454
bio4,-475.1568,0.42101532220840454
bio4,-447.4440000000001,0.42101532220840454
bio4,-419.73119999999994,0.42101532220840454
bio4,-392.01839999999993,0.42101532220840454
bio4,-364.3056,0.42101532220840454
bio4,-336.5928,0.42101532220840454
bio4,-308.8799999999999,0.42101532220840454
bio4,-281.1672,0.42101532220840454
bio4,-253.45439999999996,0.42101532220840454
bio4,-225.74159999999995,0.42101532220840454
bio4,-198.02879999999993,0.42101532220840454
bio4,-170.31599999999992,0.42101532220840454
bio4,-142.60320000000002,0.42101532220840454
bio4,-114.8904,0.42101532220840454
bio4,-87.17759999999987,0.42101532220840454
bio4,-59.46479999999997,0.42101532220840454
bio4,-31.751999999999953,0.42101532220840454
bio4,-4.039200000000051,0.42101532220840454
bio4,23.67360000000008,0.42101532220840454
bio4,51.386400000000094,0.42101532220840454
bio4,79.09920000000011,0.42101532220840454
bio4,106.8119999999999,0.42101532220840454
bio4,134.5247999999999,0.42101532220840454
bio4,162.23760000000016,0.42123088240623474
bio4,189.95040000000017,0.4218769371509552
bio4,217.6632000000002,0.42252203822135925
bio4,245.3760000000002,0.4231661558151245
bio4,273.0888,0.42380931973457336
bio4,300.8016,0.4244515001773834
bio4,328.5144,0.4250926971435547
bio4,356.22720000000004,0.42573294043540955
bio4,383.9400000000003,0.4263721704483032
bio4,411.65280000000007,0.4270104467868805
bio4,439.3656000000001,0.4276477098464966
bio4,467.0784000000001,0.4282839894294739
bio4,494.7912000000001,0.4289192855358124
bio4,522.5040000000001,0.4295535683631897
bio4,550.2168000000001,0.43018683791160583
bio4,577.9295999999999,0.4308191239833832
bio4,605.6424000000002,0.43145036697387695
bio4,633.3552000000002,0.43208062648773193
bio4,661.0680000000002,0.43270987272262573
bio4,688.7808000000002,0.43333807587623596
bio4,716.4936,0.433965265750885
bio4,744.2064,0.4345914423465729
bio4,771.9192,0.4352165758609772
bio4,799.6320000000003,0.4358406662940979
bio4,827.3448000000003,0.43646374344825745
bio4,855.0576000000001,0.4370857775211334
bio4,882.7704000000001,0.43770676851272583
bio4,910.4832000000001,0.43832671642303467
bio4,938.1960000000001,0.43894562125205994
bio4,965.9088000000002,0.43956345319747925
bio4,993.6216,0.440180242061615
