X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,5.389814335575968E-4,18.596616762661398,0.3519997475470331
2.0,2.0,train,9.640243480877974E-4,49.797670131412296,0.4927941989000511
3.0,3.0,train,0.0020610359386901435,85.53871315512745,0.6750295618243182
4.0,4.0,train,7.482097760663392E-4,29.039046070062046,0.4299001952633677
5.0,5.0,train,0.0014232603488400569,63.59786730769043,0.5892253128472509
6.0,6.0,train,2.7378817199448724E-4,4.229730272676231,0.2162615094790012
7.0,7.0,train,0.0016147603157253853,69.56482273338995,0.6193994693140464
8.0,8.0,train,4.700823579649145E-4,15.681985079145372,0.3214679548558798
9.0,9.0,train,0.0020959901121900305,86.78959817208,0.6787077715309437
10.0,10.0,train,5.397562997493166E-4,18.61392094137254,0.35232750359504655
11.0,11.0,train,0.0025551501907196796,96.67864249343553,0.7202948304088034
12.0,12.0,train,4.596660595720408E-4,15.132848644982367,0.31659993700906885
13.0,13.0,train,4.1458711684940744E-4,12.337969153526709,0.2947013985414779
14.0,14.0,train,0.0019770910980760727,81.31953220557061,0.6658423736041251
15.0,15.0,train,0.0013506117399150358,62.06777579878818,0.5764876294963004
16.0,16.0,train,0.0016570692431109896,71.84593601627694,0.6254776349896867
17.0,17.0,train,0.0017836204928233924,75.28536560394137,0.6425522205308984
18.0,18.0,train,0.0019898823820560627,83.30263491297026,0.6672756944501959
19.0,19.0,train,8.56926280895547E-4,41.98185293286163,0.4634180202631049
20.0,20.0,train,0.002035502433616632,84.7014651642275,0.672289005859437
21.0,21.0,train,8.402730807014261E-4,39.684730778196304,0.4585417005394537
22.0,22.0,train,0.0022087316240484815,89.6082988711333,0.6900240957699645
23.0,23.0,train,0.001704172214992404,73.02544607277834,0.6320201314733755
24.0,24.0,train,0.0016136156287545052,69.3900515078866,0.619232279573111
25.0,25.0,train,2.4962635598517425E-4,2.2596806997704624,0.20101276949041225
26.0,26.0,train,0.0019770910980760727,81.31953220557061,0.6658423736041251
27.0,27.0,train,0.0022669072674340956,91.17712214672495,0.6955571919733797
28.0,28.0,train,7.581344169368013E-4,30.035387030591668,0.43313270961979833
29.0,29.0,train,9.386609349571935E-4,48.61936128086629,0.48613170067473443
30.0,30.0,train,2.324130013405736E-4,1.3232074338149578,0.18978223336972627
31.0,31.0,train,7.003528301648215E-4,25.540809079140537,0.41378077948944214
32.0,32.0,train,0.0017882017938482871,75.42628357716183,0.6431411878942814
33.0,33.0,train,0.0016508646657341752,71.51539157466583,0.6245984517641505
34.0,34.0,train,7.74553698538036E-4,32.22623499471107,0.4384008262494819
35.0,35.0,train,6.247415409080491E-4,22.01772442966104,0.3863683306554627
36.0,36.0,train,0.0016054263398936148,69.0676342097165,0.6180318773081892
37.0,37.0,train,0.001900506103408811,78.40552793825927,0.6569955328119091
38.0,38.0,train,0.001252947880759108,59.57389066064447,0.5580649941033753
39.0,39.0,train,0.0010616576948428238,54.28496860352169,0.5169048235313262
40.0,40.0,train,8.768679349586669E-4,44.01574600681396,0.4691429247229236
41.0,41.0,train,8.529546387182873E-4,41.585558798317884,0.46226305360793196
42.0,42.0,train,3.349471047641864E-4,8.682237015263086,0.25237807743231805
43.0,43.0,train,5.058083386285528E-4,17.025048332251856,0.33765007368227407
44.0,44.0,train,8.475397621070397E-4,40.81957994349097,0.46068035561103593
45.0,45.0,train,2.9319856675648353E-4,5.609092838870907,0.22809633927475195
46.0,46.0,train,0.0012171374080309947,58.69984492018355,0.5509018599322871
47.0,47.0,train,0.00215493446141267,87.8578543850497,0.6847253916031935
48.0,48.0,train,0.0019229491735469142,79.55453905181504,0.6596362308271506
49.0,49.0,train,2.541879015733241E-4,2.5651628250173935,0.20393687297272672
50.0,50.0,train,2.633461880372356E-4,3.2924540378428704,0.2097434900353003
51.0,51.0,train,0.0016014828744563027,68.90735716455346,0.6174511323454264
52.0,52.0,train,8.508909907630014E-4,41.150572481434146,0.4616609728811315
53.0,53.0,train,3.141011317303653E-4,7.254801217111195,0.240447670110618
54.0,54.0,train,0.001989856239089828,83.10325785027717,0.6672727775531836
55.0,55.0,train,5.994406886024812E-4,20.793419103163586,0.37661409446698113
56.0,56.0,train,0.001077317617720703,54.80430996796251,0.5205603475497987
57.0,57.0,train,0.0017276082766483813,73.88010887809162,0.6351909230744793
58.0,58.0,train,0.0016249586800956145,70.03775811068849,0.6208825577597452
59.0,59.0,train,0.0014781372786225643,64.75038110650864,0.5983503418348644
60.0,60.0,train,4.2618189942580015E-4,13.281067787226586,0.30046690245257845
61.0,61.0,train,0.0011673384649156578,57.278893482126996,0.5405457408456326
62.0,62.0,train,0.0013554784149907824,62.33828325043901,0.5773655530786015
63.0,63.0,train,8.163895422158196E-4,37.59746745745258,0.45139147719868233
64.0,64.0,train,0.0014220087671072152,63.55185739246035,0.5890123592291592
65.0,65.0,train,0.0013302564187700062,61.26262577806686,0.572775754672955
66.0,66.0,train,0.0010446922341626741,53.82716121657556,0.5128811132896218
67.0,67.0,train,3.1470389406571935E-4,7.310913879723871,0.24079798172215397
68.0,68.0,train,0.0023587619023778678,93.35871633538348,0.7039023604996129
69.0,69.0,train,5.246746129421797E-4,17.938182510004353,0.34588802289491133
