X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,0.0015796118432984166,56.146770381960344,0.5518883704895127
2.0,2.0,train,0.0017188138905344821,87.09769013146418,0.5726713812692488
3.0,3.0,train,0.001644861523089591,67.79730898169801,0.5618763117850479
4.0,4.0,train,0.001719918511990867,88.12192981032635,0.5728285956512003
5.0,5.0,train,7.129439487410596E-4,6.659287033250589,0.35727108659990503
6.0,6.0,train,0.0013643491825631674,39.012992291626226,0.5154455345780456
7.0,7.0,train,0.001719041966087734,87.4363366094012,0.5727038514226781
8.0,8.0,train,8.510878448724558E-4,12.621059834122073,0.3988843897523093
9.0,9.0,train,0.0016518353920744885,68.84077043157384,0.5629175462577535
10.0,10.0,train,0.0015804874651667074,56.30403281278895,0.5520254178999288
11.0,11.0,train,0.0016893649028909888,74.13448231014553,0.5684369878023386
12.0,12.0,train,0.001297300237298304,35.08817324127807,0.5028523791851008
13.0,13.0,train,0.0016432646599233178,66.15424928623412,0.5616371935020639
14.0,14.0,train,0.0016443227627523358,67.46989181347631,0.5617956656300019
15.0,15.0,train,0.001712670124747108,83.83255107676476,0.5717948585969945
16.0,16.0,train,0.0015399767099684898,51.60856084318647,0.545595867108764
17.0,17.0,train,0.0017136128504130564,84.86088743931056,0.5719295894514651
18.0,18.0,train,0.0012158711453330974,31.564782168393382,0.4866494460939445
19.0,19.0,train,0.0017705311115624879,97.61208813102276,0.5799099745563026
20.0,20.0,train,0.0011671594521606616,28.35734371439483,0.4764417695940946
21.0,21.0,train,0.0011106927244125021,24.585091112416126,0.4640889828512593
22.0,22.0,train,0.0016412259554386326,65.33047897101036,0.5613315331984768
23.0,23.0,train,0.0017104732826124403,82.29297446370394,0.5714805647365658
24.0,24.0,train,0.001480002130713615,46.54000971731394,0.5357309402185526
25.0,25.0,train,0.0011377313939929454,26.578193256419826,0.47007594189046115
26.0,26.0,train,0.0016443227627523358,67.46989181347631,0.5617956656300019
27.0,27.0,train,0.001622891162192376,62.07114664184302,0.5585633459007451
28.0,28.0,train,0.0017186812422394467,86.92163592793518,0.5726524944218645
29.0,29.0,train,0.0016797964623759185,73.34519769863438,0.5670430456756046
30.0,30.0,train,9.761397141105647E-4,18.781017169618668,0.43216454520015407
31.0,31.0,train,6.761765141346755E-4,5.320714886047421,0.3452065643349675
32.0,32.0,train,0.0013086456871242806,36.019567442071114,0.5050290933530994
33.0,33.0,train,0.0016159024573880044,61.26050821517116,0.5574989724872336
34.0,34.0,train,0.0015654253513839901,54.10167141915795,0.5496562376960765
35.0,35.0,train,7.260279482303477E-4,7.168390915834027,0.3614577940036842
36.0,36.0,train,0.0017170855599543584,86.40301997198588,0.5724251656637185
37.0,37.0,train,0.0010771165546306829,23.295952235194825,0.4564635026946597
38.0,38.0,train,0.0016935597548687613,76.15703817709702,0.5690452728646094
39.0,39.0,train,0.0014378858969804954,43.65365201120541,0.5285434781874245
40.0,40.0,train,0.0012122976643334047,31.078849898912473,0.4859141609359658
41.0,41.0,train,9.502184623857344E-4,17.63074302059031,0.4255723745766964
42.0,42.0,train,0.0011143694594919992,24.807458630284827,0.46491102800008105
43.0,43.0,train,0.00156476479528995,53.992846883764194,0.54955176245218
44.0,44.0,train,0.0011940181242974161,29.90520617059375,0.4821197452777755
45.0,45.0,train,8.857530760489494E-4,13.772129407131688,0.4084944383924961
46.0,46.0,train,0.0015811862298178748,56.57631761772637,0.552134724487867
47.0,47.0,train,0.0017073514867155888,80.58310625295731,0.5710331467791836
48.0,48.0,train,0.001665052549485474,71.110324360196,0.5648774182375045
49.0,49.0,train,7.622485631833028E-4,8.266263047960244,0.3727684544943326
50.0,50.0,train,9.782074415360517E-4,18.891988020707107,0.4326838897241749
51.0,51.0,train,0.001654606670567341,69.28283022305897,0.5633299395631047
52.0,52.0,train,0.0010273599426600221,21.601169229000877,0.4447556208966378
53.0,53.0,train,9.850979750511489E-4,19.367448332254654,0.43440772625770574
54.0,54.0,train,0.0017126322846786441,83.3480077624149,0.5717894488643595
55.0,55.0,train,0.0015160967613286362,49.62426653057132,0.5417186286537353
56.0,56.0,train,0.0013922744304150309,40.805904662958795,0.5205042361252541
57.0,57.0,train,0.0016159024573880044,61.26050821517116,0.5574989724872336
58.0,58.0,train,0.001715838804231219,85.88911041672227,0.5722473783233918
59.0,59.0,train,6.482924589727054E-4,4.89939946368495,0.33575059465871204
60.0,60.0,train,0.0013729297668708266,39.81302017101354,0.5170112438734688
61.0,61.0,train,0.001389528582550265,40.5453245905713,0.5200115087216391
62.0,62.0,train,0.001437335073404331,43.55213353168716,0.5284480012665131
63.0,63.0,train,8.652031791141731E-4,13.07210863861817,0.4028349455874434
64.0,64.0,train,0.0017125291069059628,83.14687041681985,0.5717746975579636
65.0,65.0,train,8.144794094388892E-4,10.561494569915643,0.3883907078281204
66.0,66.0,train,7.005619690025909E-4,6.182138237407659,0.3532581384813603
67.0,67.0,train,0.0017218370855003379,89.15494910144662,0.5731013803545001
68.0,68.0,train,0.001004809094779145,20.30935439080173,0.43928159937241634
