variable,x,y
bio11,-398.20320000000004,1.4710165032738587E-6
bio11,-396.3768,1.6137204283950268E-6
bio11,-394.5504,1.7697129806037992E-6
bio11,-392.72400000000005,1.940178890436073E-6
bio11,-390.8976,2.1263947473926237E-6
bio11,-389.0712,2.3297557163459715E-6
bio11,-387.2448,2.551761099311989E-6
bio11,-385.4184,2.7940493509959197E-6
bio11,-383.592,3.0583787520299666E-6
bio11,-381.7656,3.346669700476923E-6
bio11,-379.9392,3.6609819744626293E-6
bio11,-378.1128,4.003563390142517E-6
bio11,-376.2864,4.376823198981583E-6
bio11,-374.46000000000004,4.783388703799574E-6
bio11,-372.6336,5.226072971709073E-6
bio11,-370.80719999999997,5.707943273591809E-6
bio11,-368.98080000000004,6.232280611584429E-6
bio11,-367.1544,6.802659299864899E-6
bio11,-365.32800000000003,7.422899216180667E-6
bio11,-363.5016,8.097162208287045E-6
bio11,-361.6752,8.829887519823387E-6
bio11,-359.8488,9.625913662603125E-6
bio11,-358.0224,1.0490394743101206E-5
bio11,-356.196,1.1428926882217638E-5
bio11,-354.3696,1.2447538210835773E-5
bio11,-352.5432,1.3552661584981252E-5
bio11,-350.71680000000003,1.4751291928405408E-5
bio11,-348.8904,1.6050873455242254E-5
bio11,-347.064,1.7459493392379954E-5
bio11,-345.2376,1.8985747374244966E-5
bio11,-343.4112,2.0638974092435092E-5
bio11,-341.5848,2.242908885818906E-5
bio11,-339.75840000000005,2.436685645079706E-5
bio11,-337.932,2.6463692847755738E-5
bio11,-336.1056,2.8731990823871456E-5
bio11,-334.2792,3.118488166364841E-5
bio11,-332.4528,3.383660441613756E-5
bio11,-330.6264,3.6702236684504896E-5
bio11,-328.8,3.979812026955187E-5
bio11,-326.97360000000003,4.314154284656979E-5
bio11,-325.1472,4.675122909247875E-5
bio11,-323.3208,5.064697324996814E-5
bio11,-321.49440000000004,5.485019210027531E-5
bio11,-319.668,5.938351387158036E-5
bio11,-317.84159999999997,6.427132757380605E-5
bio11,-316.0152,6.953970296308398E-5
bio11,-314.1888,7.52162013668567E-5
bio11,-312.3624,8.133063238346949E-5
bio11,-310.53600000000006,8.791438449406996E-5
bio11,-308.7096,9.500135638518259E-5
bio11,-306.8832,1.0262725118082017E-4
