variable,x,y
bio1,-206.5976,2.8459127415780827E-12
bio1,-205.27520000000004,3.4034615403744084E-12
bio1,-203.95280000000002,4.067821600395316E-12
bio1,-202.6304,4.858964793019727E-12
bio1,-201.30800000000002,5.800514582543492E-12
bio1,-199.98560000000003,6.92038266969508E-12
bio1,-198.66320000000002,8.251531402603263E-12
bio1,-197.3408,9.832840271173371E-12
bio1,-196.0184,1.171022306900582E-11
bio1,-194.69600000000003,1.3937734646973787E-11
bio1,-193.3736,1.6579066244859497E-11
bio1,-192.05120000000002,1.9709190876571192E-11
bio1,-190.7288,2.3416258515540633E-11
bio1,-189.40640000000002,2.7804043789547706E-11
bio1,-188.084,3.2994326021329456E-11
bio1,-186.76160000000002,3.913014356982103E-11
bio1,-185.43920000000003,4.637932746187623E-11
bio1,-184.1168,5.493858493132997E-11
bio1,-182.7944,6.503875216168353E-11
bio1,-181.472,7.694984927031356E-11
bio1,-180.14960000000002,9.098802267182293E-11
bio1,-178.82720000000003,1.0752303908345695E-10
bio1,-177.50480000000002,1.2698687934520336E-10
bio1,-176.18240000000003,1.4988489616118983E-10
bio1,-174.86,1.7680629182947882E-10
bio1,-173.5376,2.0843873849152317E-10
bio1,-172.2152,2.455839698267681E-10
bio1,-170.89280000000002,2.8917560013219656E-10
bio1,-169.5704,3.4030234186133157E-10
bio1,-168.24800000000002,4.002294884397628E-10
bio1,-166.9256,4.704289735535383E-10
bio1,-165.60320000000002,5.526115121057273E-10
bio1,-164.2808,6.487626547091452E-10
bio1,-162.9584,7.611906105431387E-10
bio1,-161.63600000000002,8.925691297179128E-10
bio1,-160.3136,1.045998732074338E-9
bio1,-158.9912,1.225071044608228E-9
bio1,-157.6688,1.4339442966360139E-9
bio1,-156.34640000000002,1.677425864876625E-9
bio1,-155.02400000000003,1.9610832957539515E-9
bio1,-153.7016,2.291340450710777E-9
bio1,-152.3792,2.675617505332184E-9
bio1,-151.0568,3.122477609807106E-9
bio1,-149.73440000000002,3.6417882043338068E-9
bio1,-148.41200000000003,4.244941287367965E-9
bio1,-147.0896,4.945036824466342E-9
bio1,-145.7672,5.757159193819916E-9
bio1,-144.44480000000001,6.698657628589899E-9
bio1,-143.12240000000003,7.789461520246732E-9
bio1,-141.8,9.052503635587072E-9
bio1,-140.4776,1.0514069614941945E-8
bio1,-139.1552,1.2204326438336466E-8
bio1,-137.83280000000002,1.4157861549790596E-8
bio1,-136.5104,1.6414272607789826E-8
bio1,-135.18800000000002,1.9018978392182362E-8
bio1,-133.8656,2.2023867174425504E-8
bio1,-132.5432,2.548829947102149E-8
bio1,-131.2208,2.9480100138812304E-8
bio1,-129.8984,3.407667392707481E-8
bio1,-128.57600000000002,3.93665224862616E-8
bio1,-127.2536,4.545040255266031E-8
bio1,-125.93120000000002,5.244321243935701E-8
bio1,-124.6088,6.047575595857779E-8
bio1,-123.28640000000001,6.969708010728937E-8
bio1,-121.96400000000003,8.027654985198751E-8
bio1,-120.64160000000001,9.240666543064435E-8
bio1,-119.3192,1.0630633084929286E-7
bio1,-117.99680000000001,1.2222371026382461E-7
bio1,-116.67440000000002,1.4044070439922507E-7
bio1,-115.35200000000003,1.6127660273923539E-7
bio1,-114.02959999999999,1.8509312837977632E-7
bio1,-112.7072,2.1230019342510786E-7
bio1,-111.38480000000001,2.4336100068467204E-7
bio1,-110.06240000000003,2.788000301734428E-7
bio1,-108.74000000000001,3.192092492554366E-7
bio1,-107.4176,3.6525707969303767E-7
bio1,-106.0952,4.1769857261897414E-7
bio1,-104.77280000000002,4.77384389796498E-7
bio1,-103.45040000000003,5.452729396893119E-7
bio1,-102.12800000000001,6.224448725333787E-7
bio1,-100.8056,7.10114420598984E-7
bio1,-99.48320000000001,8.096493502307567E-7
bio1,-98.16080000000002,9.225851158589649E-7
bio1,-96.83840000000001,1.05064611943817E-6
bio1,-95.51600000000002,1.1957699825870804E-6
bio1,-94.1936,1.3601265891338699E-6
bio1,-92.87120000000002,1.546152020637237E-6
bio1,-91.5488,1.7565719190315576E-6
bio1,-90.22640000000001,1.994436388486065E-6
bio1,-88.904,2.263161604787456E-6
bio1,-87.58160000000001,2.566562443462317E-6
bio1,-86.25919999999999,2.908898750320077E-6
bio1,-84.9368,3.2949324122455437E-6
bio1,-83.61440000000002,3.729966692844755E-6
bio1,-82.292,4.219923084747279E-6
bio1,-80.96959999999999,4.771390649693785E-6
bio1,-79.6472,5.391702416090993E-6
bio1,-78.32480000000001,6.089028374844929E-6
bio1,-77.00240000000002,6.872433914395515E-6
bio1,-75.68,7.752008968964219E-6
bio1,-74.35759999999999,8.7389407781302E-6
bio1,-73.0352,9.845636668615043E-6
bio1,-71.71280000000002,1.1085873666161206E-5
bio1,-70.39040000000003,1.247488398803398E-5
bio1,-69.06799999999998,1.4029565136297606E-5
bio1,-67.7456,1.576858267071657E-5
bio1,-66.42320000000001,1.7712571207084693E-5
bio1,-65.10080000000002,1.9884360881405883E-5
bio1,-63.778400000000005,2.2309108317131177E-5
bio1,-62.45599999999999,2.5014598577399738E-5
bio1,-61.1336,2.8031461624777876E-5
bio1,-59.811200000000014,3.139341060887091E-5
bio1,-58.4888,3.513758929329924E-5
bio1,-57.16640000000001,3.93048430851195E-5
bio1,-55.843999999999994,4.394007919472642E-5
bio1,-54.52160000000001,4.909263952868059E-5
bio1,-53.19920000000002,5.48166390217375E-5
bio1,-51.8768,6.117147859185934E-5
bio1,-50.554400000000044,6.822226714575663E-5
bio1,-49.23199999999997,7.604032725794241E-5
bio1,-47.90960000000001,8.47036499180831E-5
bio1,-46.587199999999996,9.429762576473877E-5
bio1,-45.26480000000004,1.0491553257452324E-4
bio1,-43.942399999999964,1.1665925558190793E-4
bio1,-42.620000000000005,1.29640000523068E-4
bio1,-41.29759999999999,1.4397896302398294E-4
bio1,-39.97519999999997,1.5980825992301106E-4
bio1,-38.65280000000001,1.7727176600601524E-4
bio1,-37.3304,1.9652604532893747E-4
bio1,-36.00800000000004,2.1774116612505168E-4
bio1,-34.68560000000002,2.4110205413307995E-4
bio1,-33.36319999999995,2.668093948159367E-4
bio1,-32.04079999999999,2.950809430330992E-4
bio1,-30.718399999999974,3.261525125708431E-4
bio1,-29.396000000000015,3.6027972237206995E-4
bio1,-28.0736,3.977391461376101E-4
bio1,-26.751199999999983,4.388298839330673E-4
bio1,-25.428800000000024,4.838749300688505E-4
bio1,-24.106400000000008,5.332232685759664E-4
bio1,-22.78400000000005,5.872510955668986E-4
bio1,-21.461599999999976,6.46364176645875E-4
bio1,-20.13919999999996,7.109991856850684E-4
bio1,-18.8168,7.816264987923205E-4
bio1,-17.494399999999985,8.587512420490384E-4
bio1,-16.172000000000025,9.429166093468666E-4
bio1,-14.84960000000001,0.0010347056668251753
bio1,-13.527199999999993,0.0011347430991008878
bio1,-12.204800000000034,0.00124369899276644
bio1,-10.882399999999961,0.001362290233373642
bio1,-9.560000000000002,0.0014912839978933334
bio1,-8.237599999999986,0.0016314997337758541
bio1,-6.91519999999997,0.0017838128842413425
bio1,-5.592800000000011,0.0019491565180942416
bio1,-4.270399999999995,0.002128525637090206
bio1,-2.948000000000036,0.0023229795042425394
bio1,-1.62560000000002,0.0025336439721286297
bio1,-0.3032000000000039,0.002761716488748789
bio1,1.019200000000012,0.0030084671452641487
bio1,2.341600000000028,0.0032752433326095343
bio1,3.6639999999999873,0.0035634720697999
bio1,4.986400000000003,0.0038746630307286978
bio1,6.308800000000019,0.004210412502288818
bio1,7.6311999999999784,0.00457240454852581
bio1,8.953599999999994,0.004962417297065258
bio1,10.275999999999954,0.005382321309298277
bio1,11.598400000000026,0.005834086332470179
bio1,12.920800000000042,0.006319780368357897
bio1,14.243200000000002,0.006841575261205435
bio1,15.565600000000018,0.007401746232062578
bio1,16.887999999999977,0.008002674207091331
bio1,18.210399999999993,0.008646847680211067
bio1,19.53280000000001,0.00933686550706625
bio1,20.855199999999968,0.010075432248413563
bio1,22.177599999999984,0.010865367017686367
bio1,23.5,0.011709592305123806
bio1,24.822400000000016,0.012611144222319126
bio1,26.144800000000032,0.013573164120316505
bio1,27.46719999999999,0.014598897658288479
bio1,28.789600000000007,0.015691693872213364
bio1,30.111999999999966,0.01685499958693981
bio1,31.434399999999982,0.018092360347509384
bio1,32.7568,0.019407404586672783
bio1,34.079200000000014,0.020803844556212425
bio1,35.40160000000003,0.022285474464297295
bio1,36.72399999999999,0.023856153711676598
bio1,38.046400000000006,0.025519799441099167
bio1,39.36880000000002,0.027280384674668312
bio1,40.69119999999998,0.029141902923583984
bio1,42.0136,0.031108392402529716
bio1,43.335999999999956,0.03318389132618904
bio1,44.65840000000003,0.03537244722247124
bio1,45.980800000000045,0.0376780666410923
bio1,47.303200000000004,0.040104739367961884
bio1,48.62560000000002,0.042656395584344864
bio1,49.94799999999998,0.04533690586686134
bio1,51.270399999999995,0.04815002158284187
bio1,52.59280000000001,0.051099393516778946
bio1,53.91519999999997,0.054188549518585205
bio1,55.237599999999986,0.057420842349529266
bio1,56.56,0.06079946458339691
bio1,57.88240000000002,0.06432737410068512
bio1,59.204800000000034,0.06800733506679535
bio1,60.52719999999999,0.07184184342622757
bio1,61.84960000000001,0.07583313435316086
bio1,63.17199999999997,0.07998311519622803
bio1,64.49439999999998,0.0842934101819992
bio1,65.8168,0.08876530826091766
bio1,67.13920000000002,0.09339965879917145
bio1,68.46160000000003,0.09819705784320831
bio1,69.78399999999999,0.10315757244825363
bio1,71.10640000000001,0.1082809716463089
bio1,72.42880000000002,0.11356650292873383
bio1,73.75119999999998,0.1190129742026329
bio1,75.0736,0.12461883574724197
bio1,76.39599999999996,0.1303819864988327
bio1,77.71839999999997,0.13629983365535736
bio1,79.04080000000005,0.14236946403980255
bio1,80.3632,0.14858730137348175
bio1,81.68560000000002,0.15494951605796814
bio1,83.00799999999998,0.16145165264606476
bio1,84.3304,0.1680888533592224
bio1,85.65280000000001,0.17485590279102325
bio1,86.97519999999997,0.18174704909324646
bio1,88.29759999999999,0.1887562870979309
bio1,89.62,0.1958770751953125
bio1,90.94240000000002,0.20310258865356445
bio1,92.26480000000004,0.2104257345199585
bio1,93.5872,0.21783898770809174
bio1,94.90960000000001,0.22533470392227173
bio1,96.23199999999997,0.23290488123893738
bio1,97.55439999999999,0.24054130911827087
bio1,98.8768,0.24823573231697083
bio1,100.19919999999996,0.25597962737083435
bio1,101.52160000000003,0.2637643814086914
bio1,102.844,0.27158141136169434
bio1,104.16640000000001,0.27942192554473877
bio1,105.48880000000003,0.28727734088897705
bio1,106.81119999999999,0.29513898491859436
bio1,108.1336,0.3029981553554535
bio1,109.45599999999996,0.3108465075492859
bio1,110.77839999999998,0.31867554783821106
bio1,112.10080000000005,0.32647714018821716
bio1,113.42320000000001,0.33424320816993713
bio1,114.74560000000002,0.34196582436561584
bio1,116.06799999999998,0.3496374785900116
bio1,117.3904,0.35725075006484985
bio1,118.71280000000002,0.3647984564304352
bio1,120.03519999999997,0.37227383255958557
bio1,121.35759999999999,0.3796702027320862
bio1,122.68000000000006,0.38698136806488037
bio1,124.00240000000002,0.3942013382911682
bio1,125.32480000000004,0.4013243615627289
bio1,126.6472,0.40834516286849976
bio1,127.96960000000001,0.41525864601135254
bio1,129.29200000000003,0.42206019163131714
bio1,130.6144,0.4287451207637787
bio1,131.9368,0.43530958890914917
bio1,133.25919999999996,0.441749632358551
bio1,134.58160000000004,0.4480617642402649
bio1,135.90400000000005,0.4542427361011505
bio1,137.2264,0.4602895677089691
bio1,138.54880000000003,0.466199666261673
bio1,139.8712,0.4719705581665039
bio1,141.1936,0.4776000678539276
bio1,142.51600000000002,0.4830862581729889
bio1,143.83839999999998,0.48842740058898926
bio1,145.16080000000005,0.4936220943927765
bio1,146.4832,0.49866896867752075
bio1,147.80560000000003,0.5035669803619385
bio1,149.12800000000004,0.5083151459693909
bio1,150.4504,0.5129126906394958
bio1,151.77280000000002,0.5173590779304504
bio1,153.09519999999998,0.5216538906097412
bio1,154.4176,0.52579665184021
bio1,155.74,0.5297873020172119
bio1,157.06240000000003,0.5336255431175232
bio1,158.38480000000004,0.5373115539550781
bio1,159.7072,0.5408452749252319
bio1,161.02960000000002,0.5442269444465637
bio1,162.35200000000003,0.547456681728363
bio1,163.6744,0.550534725189209
bio1,164.9968,0.553461492061615
bio1,166.31919999999997,0.5562372803688049
bio1,167.64160000000004,0.5588624477386475
bio1,168.96400000000006,0.561337411403656
